AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
5,29,314217.155767184,22686.9231824978,128924.981628211,405460.093588495,1226003.03194639,2972699.29053515
5,30,272504.496044638,20789.0396424651,105265.532420474,363154.354840184,1038359.48215467,2284392.94279125
5,31,243419.847789509,6907.84698013603,57463.2287661755,326076.318431131,1001610.18092378,2324898.1818633
5,32,205231.035499199,0,39641.841540656,275071.699853994,853159.343855332,2603826.22791
5,33,191710.439634496,0,40903.5963949099,288799.824752463,841385.493740719,1659603.04242543
5,34,145582.23901967,0,22401.4165557902,188228.096994744,694251.438241617,2029563.29605601
5,35,164457.897711123,0,14771.3460229796,190602.589409067,783163.276392278,2458293.27343248
5,36,128020.300730313,0,2555.15153462019,63098.392912415,770001.207705044,1833604.43801298
5,37,125088.867546649,0,0,76244.6739319021,774525.583298103,2113884.46033554
5,38,93843.5671874569,0,0,41036.5138073037,566811.588367402,1677918.08408216
5,39,104234.434693779,0,0,37257.709211035,641743.982087088,1858350.80107921
5,40,92867.5870434724,0,0,32669.744430076,612473.599931817,1817374.92168548
6,1,9176.04854234214,0,0,6212.10869820568,31971.1264121426,365067.393338838
6,2,102209.703356066,39590.1129148524,62118.7800087075,104702.153950303,306518.979903541,1195359.97521908
6,3,294475.718662943,152244.772952729,214554.921074298,325120.785151583,750374.67582235,1819996.05407939
6,4,497663.758297189,295305.105732417,416516.145409152,612184.486777474,1072959.49110613,1825440.17023085
6,5,659840.305639321,405991.372253685,564637.073030283,777554.142707081,1458493.20961891,2207525.42143098
6,6,767262.830170394,486471.486184246,648414.993564347,897815.584351809,1561071.37047596,4142001.05760616
6,7,831657.589675267,520362.605235335,738804.869022313,1016274.39747246,1683824.6166626,2955976.17016398
6,8,860116.273920068,543302.414029609,749435.723163432,1037643.2885023,1792357.763115,2890735.60372602
6,9,880201.592229653,556855.394059971,771525.856968582,1098430.79473308,1756887.11675911,3083651.71941337
6,10,930968.651978769,572596.967480049,821198.464638145,1168291.51745079,1926143.03968777,2793703.61142697
6,11,923783.236586246,543910.242778565,810156.356568684,1131373.31420461,1954239.21334102,3554108.71884386
6,12,877669.685221545,512633.407150563,775402.855015369,1117965.89870415,1879698.34304056,3103709.09733772
6,13,837129.662635956,468521.269115814,724124.490925353,1104117.21449169,1812648.66952969,2772792.46685158
6,14,821515.566222631,434795.167390257,695966.134437215,1085624.33155992,1875564.95403425,3347777.94369784
6,15,822442.95535247,459703.412053554,690238.458633864,1045445.06268232,1899738.12080702,3446305.29060441
6,16,773971.250667362,392032.807319379,644374.435815176,1012291.13364584,1951656.85323505,3007298.06638925
6,17,735132.01921651,364649.178008508,602250.645409779,970406.539506497,1733321.44179988,3391686.06076318
6,18,721923.759108207,354400.800805432,602397.439701923,961654.72187778,1850057.76016114,3189793.18548049
6,19,646903.880842103,312968.269402438,527184.697738973,844638.254929974,1602439.15280078,3120530.16987188
6,20,655671.71905237,279328.277162962,512857.319178626,854549.466273709,1783866.92649624,3276062.93792911
6,21,600955.9290911,237481.664767711,463928.536516749,820909.944600548,1666684.84323228,3179881.89118458
6,22,551314.398199429,217231.000321414,418714.303846151,718882.694832726,1575540.42675493,3250380.58399458
6,23,482720.185538521,161918.502986807,347888.920402587,683390.805585439,1488066.98965484,2459080.39596924
6,24,447287.202351143,98322.255253303,301848.097769101,627323.360483803,1380434.70619992,2465421.38705503
